method,F1,e_tp,F1(optacc),e_tp(optacc),F1[FSA0],SPS[FSA0],TCS[FSA0],F1[FSA1],SPS[FSA1],TCS[FSA1],F1(L<150),e_tp(L<150),F1(optacc;L<150),e_tp(optacc;L<150)
TKF92,0.289363,77284.472203,0.309182,84913.000000,0.370038,,,0.377377,,,0.450427,4838.921334,0.474787,5202.000000
MixDom-d3f1,0.316078,81324.233941,0.330461,89284.000000,0.378931,,,0.383524,,,0.461555,4945.743643,0.489097,5372.000000
TKF92-K20,0.305643,71362.817550,0.326725,78249.000000,0.378219,,,0.382415,,,0.458088,4921.364820,0.486032,5324.000000
CherryML-C20,0.252848,60716.619975,0.290697,71175.000000,0.336695,,,0.346950,,,0.417703,4581.678735,0.457305,5077.000000
MAFFT,,,,,,,,0.365176,,,0.508787,5472.000000,,
MUSCLE,,,,,,,,0.373071,,,0.511703,5575.000000,,
inf-PHMM-K4 (single),0.454236,4827.220000,0.462228,4953.000000,,,,,,,0.454236,4827.220000,0.462228,4953.000000
